video,block,fingerprint,processing_seconds
ashley_3am_dl.mp4,61,"-491.582062,110.531921,-35.633736,54.437225,-16.585936,34.756107,-27.657578,20.784550,-19.118872,19.109200,-13.073525,9.185113,-8.900562,8.655152,0.930911,2.579513,0.767810,-7.101630,2.672767,-10.112062",12.972
ashley_3am_dl.mp4,62,"-542.645691,86.655266,-20.337626,57.587727,-20.663599,35.686756,-21.520029,18.267298,-18.479980,19.747011,-13.655663,11.889275,-5.561516,9.255203,2.595810,2.881408,1.361613,-5.712527,-0.845062,-9.700717",12.972
ashley_dior_dl.mp4,0,"-200.876129,148.580734,-11.864824,48.372597,-19.174622,26.504568,-6.208323,4.635326,-13.453215,11.121559,-10.737353,1.605988,2.918652,1.399114,1.195401,-3.920398,0.339324,-7.160413,-1.461376,0.347209",0.168
ashley_dior_dl.mp4,1,"-230.879517,164.862106,0.160339,31.592934,-9.523972,16.045700,1.390775,4.133186,-9.497309,1.073099,-3.811015,8.540825,8.065559,0.464848,1.236067,-0.815821,1.720493,-2.814151,0.945214,-1.768201",0.168
ashley_dior_dl.mp4,2,"-136.459579,141.771378,-14.812876,46.776260,-35.117203,24.732643,-18.854839,13.737081,-17.765356,11.647361,-9.924642,10.384422,-3.086340,-2.734557,-8.416905,-1.430293,6.385302,-5.344730,3.946008,-3.332736",0.168
ashley_dior_dl.mp4,3,"-232.099335,157.555618,2.137700,41.198006,-4.746752,23.587271,0.475439,10.121565,-6.744291,10.191408,2.199656,5.254403,4.789130,1.584927,3.346149,0.959094,4.481142,-1.116503,0.314250,-1.890914",0.168
ashley_dior_dl.mp4,4,"-145.316147,150.838760,-22.978189,51.456818,-9.822411,32.348465,-0.715577,13.833903,-5.780872,13.945167,4.057778,7.948795,10.102999,6.196137,8.946044,3.321585,6.965324,-1.009544,3.885406,-1.666313",0.168
ashley_dior_dl.mp4,5,"-129.753891,156.101837,-21.597578,48.899632,-21.191952,27.135351,-6.575096,20.343208,-5.523468,16.952200,2.795842,11.490378,6.372865,4.175479,6.348380,8.063348,9.071161,2.124539,6.361271,-3.388246",0.168
ashley_dior_dl.mp4,6,"-176.911804,174.936203,-10.714874,35.450306,-10.586599,20.413853,3.576336,17.681110,-0.019814,13.849383,1.555757,9.089980,7.745880,6.094788,8.171420,6.733574,10.149909,2.131364,2.768027,-2.801843",0.168
ashley_dior_dl.mp4,7,"-188.848358,164.781403,-10.162405,40.111313,-15.350920,26.296434,5.154822,15.456731,-1.007534,18.143175,-2.782944,5.000184,7.302407,7.353967,11.457924,6.926642,8.100511,-2.406895,-0.286561,-0.789532",0.168
